"","year","month","day","start","visitor","pts_visitor","home","pts_home","attend","acr","zer","code"
"162",2019,"11","14","8:00p","Chicago Bulls",115,"Milwaukee Bucks",124,17.627,"MIL",0,"201911140MIL"
"163",2019,"11","14","8:00p","Los Angeles Clippers",127,"New Orleans Pelicans",132,17.147,"NOP",0,"201911140NOP"
"164",2019,"11","14","8:00p","Dallas Mavericks",103,"New York Knicks",106,19.812,"NYK",0,"201911140NYK"
"165",2019,"11","14","9:00p","Atlanta Hawks",112,"Phoenix Suns",128,15.143,"PHO",0,"201911140PHO"
"166",2019,"11","14","10:30p","Brooklyn Nets",93,"Denver Nuggets",101,18.394,"DEN",0,"201911140DEN"
"167",2019,"11","15","7:00p","Detroit Pistons",106,"Charlotte Hornets",109,16.778,"CHO",0,"201911150CHO"
"168",2019,"11","15","7:00p","San Antonio Spurs",109,"Orlando Magic",111,16.296,"ORL",0,"201911150ORL"
"169",2019,"11","15","8:00p","Indiana Pacers",102,"Houston Rockets",111,18.055,"HOU",0,"201911150HOU"
"170",2019,"11","15","8:00p","Utah Jazz",106,"Memphis Grizzlies",107,16.422,"MEM",0,"201911150MEM"
"171",2019,"11","15","8:00p","Washington Wizards",137,"Minnesota Timberwolves",116,12.716,"MIN",0,"201911150MIN"
"172",2019,"11","15","8:00p","Philadelphia 76ers",119,"Oklahoma City Thunder",127,18.203,"OKC",0,"201911150OKC"
"173",2019,"11","15","10:30p","Boston Celtics",105,"Golden State Warriors",100,18.064,"GSW",0,"201911150GSW"
"174",2019,"11","15","10:30p","Sacramento Kings",97,"Los Angeles Lakers",99,18.997,"LAL",0,"201911150LAL"
"175",2019,"11","16","6:00p","Brooklyn Nets",117,"Chicago Bulls",111,19.148,"CHI",0,"201911160CHI"
"176",2019,"11","16","7:00p","Milwaukee Bucks",102,"Indiana Pacers",83,17.024,"IND",0,"201911160IND"
"177",2019,"11","16","7:30p","Charlotte Hornets",103,"New York Knicks",102,19.401,"NYK",0,"201911160NYK"
"178",2019,"11","16","8:00p","New Orleans Pelicans",94,"Miami Heat",109,19.6,"MIA",0,"201911160MIA"
"179",2019,"11","16","8:00p","Houston Rockets",125,"Minnesota Timberwolves",105,18.978,"MIN",0,"201911160MIN"
"180",2019,"11","16","8:30p","Toronto Raptors",102,"Dallas Mavericks",110,19.926,"DAL",0,"201911160DAL"
"181",2019,"11","16","8:30p","Portland Trail Blazers",121,"San Antonio Spurs",116,18.534,"SAS",0,"201911160SAS"
"182",2019,"11","16","10:30p","Atlanta Hawks",101,"Los Angeles Clippers",150,19.068,"LAC",0,"201911160LAC"
"183",2019,"11","17","3:00p","Philadelphia 76ers",114,"Cleveland Cavaliers",95,19.432,"CLE",0,"201911170CLE"
"184",2019,"11","17","3:30p","Boston Celtics",99,"Sacramento Kings",100,16.633,"SAC",0,"201911170SAC"
"185",2019,"11","17","6:00p","Denver Nuggets",131,"Memphis Grizzlies",114,14.227,"MEM",0,"201911170MEM"
"186",2019,"11","17","6:00p","Washington Wizards",121,"Orlando Magic",125,16.344,"ORL",0,"201911170ORL"
"187",2019,"11","17","7:00p","Golden State Warriors",100,"New Orleans Pelicans",108,16.812,"NOP",0,"201911170NOP"
"188",2019,"11","17","9:30p","Atlanta Hawks",101,"Los Angeles Lakers",122,18.997,"LAL",0,"201911170LAL"
"189",2019,"11","18","7:00p","Cleveland Cavaliers",105,"New York Knicks",123,17.097,"NYK",0,"201911180NYK"
"190",2019,"11","18","7:30p","Indiana Pacers",115,"Brooklyn Nets",86,14.14,"BRK",0,"201911180BRK"
"191",2019,"11","18","7:30p","Charlotte Hornets",96,"Toronto Raptors",132,19.8,"TOR",0,"201911180TOR"
"192",2019,"11","18","8:00p","Milwaukee Bucks",115,"Chicago Bulls",101,17.565,"CHI",0,"201911180CHI"
"193",2019,"11","18","8:00p","Portland Trail Blazers",108,"Houston Rockets",132,18.055,"HOU",0,"201911180HOU"
"194",2019,"11","18","8:30p","San Antonio Spurs",110,"Dallas Mavericks",117,19.637,"DAL",0,"201911180DAL"
"195",2019,"11","18","9:00p","Boston Celtics",99,"Phoenix Suns",85,15.193,"PHO",0,"201911180PHO"
"196",2019,"11","18","9:00p","Minnesota Timberwolves",112,"Utah Jazz",102,18.306,"UTA",0,"201911180UTA"
"197",2019,"11","18","10:30p","Oklahoma City Thunder",88,"Los Angeles Clippers",90,19.068,"LAC",0,"201911180LAC"
"198",2019,"11","19","8:00p","Golden State Warriors",114,"Memphis Grizzlies",95,14.511,"MEM",0,"201911190MEM"
"199",2019,"11","19","8:00p","Portland Trail Blazers",104,"New Orleans Pelicans",115,15.021,"NOP",0,"201911190NOP"
"200",2019,"11","19","10:00p","Phoenix Suns",116,"Sacramento Kings",120,16.732,"SAC",0,"201911190SAC"
"201",2019,"11","19","10:30p","Oklahoma City Thunder",107,"Los Angeles Lakers",112,18.997,"LAL",0,"201911190LAL"
"202",2019,"11","20","7:00p","New York Knicks",104,"Philadelphia 76ers",109,20.384,"PHI",0,"201911200PHI"
"203",2019,"11","20","7:00p","San Antonio Spurs",132,"Washington Wizards",138,14.579,"WAS",0,"201911200WAS"
"204",2019,"11","20","7:30p","Milwaukee Bucks",135,"Atlanta Hawks",127,16.441,"ATL",0,"201911200ATL"
"205",2019,"11","20","7:30p","Charlotte Hornets",91,"Brooklyn Nets",101,14.011,"BRK",0,"201911200BRK"
"206",2019,"11","20","7:30p","Golden State Warriors",94,"Dallas Mavericks",142,19.569,"DAL",0,"201911200DAL"
"207",2019,"11","20","7:30p","Cleveland Cavaliers",100,"Miami Heat",124,19.6,"MIA",0,"201911200MIA"
"208",2019,"11","20","7:30p","Orlando Magic",97,"Toronto Raptors",113,19.8,"TOR",0,"201911200TOR"
"209",2019,"11","20","8:00p","Detroit Pistons",89,"Chicago Bulls",109,18.119,"CHI",0,"201911200CHI"
"210",2019,"11","20","8:00p","Utah Jazz",103,"Minnesota Timberwolves",95,13.177,"MIN",0,"201911200MIN"
"211",2019,"11","20","9:00p","Houston Rockets",95,"Denver Nuggets",105,17.778,"DEN",0,"201911200DEN"
"212",2019,"11","20","10:00p","Boston Celtics",104,"Los Angeles Clippers",107,19.068,"LAC",0,"201911200LAC"
"213",2019,"11","21","8:00p","Portland Trail Blazers",129,"Milwaukee Bucks",137,17.385,"MIL",0,"201911210MIL"
"214",2019,"11","21","10:30p","New Orleans Pelicans",124,"Phoenix Suns",121,13.903,"PHO",0,"201911210PHO"
"215",2019,"11","22","7:00p","Atlanta Hawks",103,"Detroit Pistons",128,15.399,"DET",0,"201911220DET"
"216",2019,"11","22","7:00p","Charlotte Hornets",118,"Washington Wizards",125,15.053,"WAS",0,"201911220WAS"
"217",2019,"11","22","7:30p","Sacramento Kings",97,"Brooklyn Nets",116,15.619,"BRK",0,"201911220BRK"
"218",2019,"11","22","8:00p","Miami Heat",116,"Chicago Bulls",108,18.953,"CHI",0,"201911220CHI"
"219",2019,"11","22","8:00p","Los Angeles Lakers",130,"Oklahoma City Thunder",127,18.203,"OKC",0,"201911220OKC"
"220",2019,"11","22","8:00p","San Antonio Spurs",104,"Philadelphia 76ers",115,20.927,"PHI",0,"201911220PHI"
"221",2019,"11","22","8:30p","Cleveland Cavaliers",101,"Dallas Mavericks",143,19.639,"DAL",0,"201911220DAL"
"222",2019,"11","22","9:00p","Boston Celtics",92,"Denver Nuggets",96,19.52,"DEN",0,"201911220DEN"
"223",2019,"11","22","9:00p","Golden State Warriors",109,"Utah Jazz",113,18.306,"UTA",0,"201911220UTA"
"224",2019,"11","22","10:30p","Houston Rockets",119,"Los Angeles Clippers",122,19.068,"LAC",0,"201911220LAC"
"225",2019,"11","23","5:00p","Phoenix Suns",100,"Minnesota Timberwolves",98,17.362,"MIN",0,"201911230MIN"
"226",2019,"11","23","7:00p","Chicago Bulls",116,"Charlotte Hornets",115,17.891,"CHO",0,"201911230CHO"
"227",2019,"11","23","7:00p","Orlando Magic",106,"Indiana Pacers",111,16.446,"IND",0,"201911230IND"
"228",2019,"11","23","7:30p","Toronto Raptors",119,"Atlanta Hawks",116,16.931,"ATL",0,"201911230ATL"
"229",2019,"11","23","7:30p","San Antonio Spurs",111,"New York Knicks",104,19.32,"NYK",0,"201911230NYK"
