0,1,2,3,4,5,6,7
38:13,39:49,YES,YES,0,33:50,NO,YES
37:55,31:19,YES,YES,39:21,38:50,YES,YES
0,35:53,NO,YES,30:55,27:58,YES,YES
23:54,0,YES,NO,26:19,21:05,YES,YES
28:20,35:03,YES,YES,0,26:41,NO,YES
34:59,30:31,YES,YES,32:39,34:40,YES,YES
27:56,26:26,YES,YES,33:45,27:34,YES,YES
0,40:33,NO,YES,44:51,1:58,YES,YES
37:28,21:40,YES,YES,35:40,38:25,YES,YES
34:40,29:53,YES,YES,32:27,29:17,YES,YES
34:55,33:39,YES,YES,23:49,46:24,YES,YES
31:56,39:06,YES,YES,32:11,32:21,YES,YES
0,25:19,NO,YES,15:12,26:03,YES,YES
31:09,0,YES,NO,32:55,35:59,YES,YES
0,37:36,NO,YES,0,32:28,NO,YES
23:48,30:26,YES,YES,32:57,35:38,YES,YES
0,38:39,NO,YES,35:55,38:45,YES,YES
31:06,0,YES,NO,0,33:57,NO,YES
0,32:59,NO,YES,29:58,25:57,YES,YES
0,26:32,NO,YES,39:02,38:01,YES,YES
36:15,43:29,YES,YES,41:34,39:39,YES,YES
0,35:19,NO,YES,0,23:09,NO,YES
12:57,38:36,YES,YES,0,0,NO,NO
30:05,26:22,YES,YES,0,27:20,NO,YES
31:42,31:42,YES,YES,0,33:00,NO,YES
28:53,27:19,YES,YES,31:45,29:57,YES,YES
0,40:55,NO,YES,35:48,0,YES,NO
35:44,36:44,YES,YES,39:17,33:53,YES,YES
36:19,35:49,YES,YES,36:03,0,YES,NO
33:47,28:47,YES,YES,0,38:36,NO,YES
30:53,32:42,YES,YES,26:30,32:41,YES,YES
19:12,34:58,YES,YES,22:51,28:22,YES,YES
Did Not Play,0,YES,NO,0,36:29,NO,YES
30:18,29:34,YES,YES,35:53,34:19,YES,YES
0,32:05,NO,YES,35:21,36:37,YES,YES
36:39,35:45,YES,YES,0,0,NO,NO
27:22,31:37,YES,YES,32:37,28:20,YES,YES
0,26:11,NO,YES,0,32:44,NO,YES
Did Not Play,26:16,YES,YES,34:48,31:36,YES,YES
20:07,37:56,YES,YES,38:07,37:03,YES,YES
36:15,30:40,YES,YES,17:44,37:45,YES,YES
0,31:58,NO,YES,30:09,7:58,YES,YES
37:56,24:06,YES,YES,31:08,31:31,YES,YES
31:59,30:17,YES,YES,33:56,33:49,YES,YES
0,35:48,NO,YES,37:30,37:33,YES,YES
30:18,31:54,YES,YES,0,35:54,NO,YES
40:14,0,YES,NO,35:38,25:10,YES,YES
30:32,37:35,YES,YES,30:17,0,YES,NO
35:24,33:09,YES,YES,27:25,29:52,YES,YES
0,23:32,NO,YES,31:29,32:30,YES,YES
31:32,37:14,YES,YES,37:55,38:04,YES,YES
19:46,41:23,YES,YES,31:14,30:52,YES,YES
