,code,acrv,acrh
816,202002120DEN,LAL,DEN
817,202002130BOS,LAC,BOS
818,202002130NOP,OKC,NOP
819,202002200DET,MIL,DET
820,202002200ATL,MIA,ATL
821,202002200CHI,CHO,CHI
822,202002200PHI,BRK,PHI
823,202002200SAC,MEM,SAC
824,202002200GSW,HOU,GSW
825,202002210ORL,DAL,ORL
826,202002210WAS,CLE,WAS
827,202002210NYK,IND,NYK
828,202002210TOR,PHO,TOR
829,202002210MIN,BOS,MIN
830,202002210OKC,DEN,OKC
831,202002210UTA,SAS,UTA
832,202002210LAL,MEM,LAL
833,202002210POR,NOP,POR
834,202002220LAC,SAC,LAC
835,202002220CHO,BRK,CHO
